Date,Open,High,Low,Close
03/22/2010,10741.00 ,10809.85 ,10695.13 ,10785.89 
03/19/2010,10780.00 ,10819.90 ,10694.22 ,10741.98 
03/18/2010,10733.44 ,10784.00 ,10728.15 ,10779.17 
03/17/2010,10686.36 ,10767.98 ,10686.36 ,10733.67 
03/16/2010,10642.53 ,10693.99 ,10621.90 ,10685.98 
03/15/2010,10623.41 ,10644.19 ,10570.51 ,10642.15 
03/12/2010,10611.77 ,10644.95 ,10594.84 ,10624.69 
03/11/2010,10560.98 ,10611.84 ,10507.17 ,10611.84 
03/10/2010,10560.13 ,10601.79 ,10526.52 ,10567.33 
03/09/2010,10552.24 ,10612.60 ,10533.93 ,10564.38 
03/08/2010,10563.78 ,10587.74 ,10542.39 ,10552.52 
03/05/2010,10445.13 ,10571.94 ,10445.05 ,10566.20 
03/04/2010,10396.53 ,10452.38 ,10390.86 ,10444.14 
03/03/2010,10406.28 ,10469.54 ,10376.58 ,10396.76 
03/02/2010,10404.16 ,10456.92 ,10389.43 ,10405.98 
03/01/2010,10326.10 ,10413.99 ,10326.10 ,10403.79 
02/26/2010,10321.41 ,10353.45 ,10272.29 ,10325.26 
02/25/2010,10366.60 ,10366.68 ,10185.83 ,10321.03 
02/24/2010,10284.00 ,10393.51 ,10283.93 ,10374.16 
02/23/2010,10383.16 ,10411.12 ,10267.83 ,10282.41 
02/22/2010,10402.43 ,10433.64 ,10368.95 ,10383.38 
02/19/2010,10387.77 ,10438.55 ,10339.17 ,10402.35 
02/18/2010,10309.39 ,10406.58 ,10294.51 ,10392.90 
02/17/2010,10261.48 ,10320.13 ,10261.48 ,10309.24 
02/16/2010,10100.81 ,10279.54 ,10100.81 ,10268.81 
02/12/2010,10137.23 ,10137.39 ,9983.82 ,10099.14 
02/11/2010,10037.85 ,10161.57 ,9976.71 ,10144.19 
02/10/2010,10055.46 ,10085.54 ,9962.96 ,10038.38 
02/09/2010,9910.28 ,10139.43 ,9910.06 ,10058.64 
02/08/2010,10005.43 ,10028.56 ,9904.09 ,9908.39 
02/05/2010,10003.69 ,10031.96 ,9835.09 ,10012.23 
02/04/2010,10273.12 ,10273.12 ,9998.03 ,10002.18 
02/03/2010,10291.73 ,10307.20 ,10231.93 ,10270.55 
02/02/2010,10186.13 ,10314.84 ,10173.59 ,10296.85 
02/01/2010,10068.99 ,10190.89 ,10068.91 ,10185.53 
01/29/2010,10122.04 ,10239.34 ,10043.75 ,10067.33 
01/28/2010,10236.92 ,10258.83 ,10055.08 ,10120.46 
01/27/2010,10194.29 ,10255.06 ,10104.36 ,10236.16 
01/26/2010,10195.35 ,10285.13 ,10155.60 ,10194.29 
01/25/2010,10175.10 ,10256.87 ,10171.77 ,10196.86 
01/22/2010,10389.58 ,10389.58 ,10157.64 ,10172.98 
01/21/2010,10603.91 ,10614.94 ,10374.69 ,10389.88 
01/20/2010,10719.69 ,10719.92 ,10517.30 ,10603.15 
01/19/2010,10608.37 ,10729.89 ,10591.97 ,10725.43 
01/15/2010,10706.99 ,10709.94 ,10561.06 ,10609.65 
01/14/2010,10680.16 ,10723.77 ,10666.86 ,10710.55 
01/13/2010,10628.09 ,10709.26 ,10614.49 ,10680.77 
01/12/2010,10662.86 ,10663.08 ,10568.84 ,10627.26 
01/11/2010,10620.31 ,10676.23 ,10591.59 ,10663.99 
01/08/2010,10606.40 ,10619.40 ,10554.33 ,10618.19 
01/07/2010,10571.11 ,10612.37 ,10505.21 ,10606.86 
01/06/2010,10564.72 ,10594.99 ,10546.55 ,10573.68 
01/05/2010,10584.56 ,10584.56 ,10522.52 ,10572.02 
01/04/2010,10430.69 ,10604.97 ,10430.69 ,10583.96 
12/31/2009,10548.51 ,10555.01 ,10423.13 ,10428.05 
12/30/2009,10544.36 ,10550.70 ,10505.66 ,10548.51 
